Ministère du Développement durable, de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2015-05-03, préliminaires par la suite
Station:        021407         Sainte-Anne - à 9,7 km en amont du pont-route 132
Bassin versant: 772 km²        Régime: Naturel
Coordonnées:    (NAD83) 49° 2' 37" // -66° 28' 33"
Date de création du fichier: 2016-02-14 00:00
Particularité(s):
-
-
-
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
MC: La donnée représente un débit moyen converti.
MJ: La donnée est une moyenne journalière.
P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
S:  La donnée est saisie manuellement.
Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.
Station        Date                Débit (m³/s)   Remarque
021407         1974/10/10          19.40          MC
021407         1974/10/11          18.00          MC
021407         1974/10/12          16.30          MC
021407         1974/10/13          16.20          MC
021407         1974/10/14          14.50          MC
021407         1974/10/15          19.10          MC
021407         1974/10/16          37.40          MC
021407         1974/10/17          29.70          MC
021407         1974/10/18          26.40          MC
021407         1974/10/19          22.90          MC
021407         1974/10/20          20.40          MC
021407         1974/10/21          18.20          MC
021407         1974/10/22          16.20          MC
021407         1974/10/23          15.30          MC
021407         1974/10/24          14.10          MC
021407         1974/10/25          13.10          MC
021407         1974/10/26          12.60          MC
021407         1974/10/27          12.30          MC
021407         1974/10/28          11.40          MC
021407         1974/10/29          11.10          MC
021407         1974/10/30          11.10          MC
021407         1974/10/31          11.00          MC
021407         1974/11/01          17.40          MC
021407         1974/11/02          29.40          MC
021407         1974/11/03          20.40          MC
021407         1974/11/04          17.60          MC
021407         1974/11/05          16.10          MC
021407         1974/11/06          14.70          MC
021407         1974/11/07          13.50          MC
021407         1974/11/08          12.50          MC
021407         1974/11/09          11.90          MC
021407         1974/11/10          11.20          MC
021407         1974/11/11          11.00          MC
021407         1974/11/12          10.60          MC
021407         1974/11/13          10.70          MC
021407         1974/11/14          13.10          MC
021407         1974/11/15          16.70          MC
021407         1974/11/16          20.50          MC
021407         1974/11/17          17.10          MC
021407         1974/11/18          15.50          MC
021407         1974/11/19          14.40          MC
021407         1974/11/20          12.90          MC
021407         1974/11/21          12.50          MC
021407         1974/11/22          12.00          MC
021407         1974/11/23          11.30          MC
021407         1974/11/24          11.50          MC
021407         1974/11/25          12.00          MC
021407         1974/11/26          11.10          MC
021407         1974/11/27          7.650          MC
021407         1974/11/28          17.00          R
021407         1974/11/29          22.50          R
021407         1974/11/30          17.80          R
021407         1974/12/01          14.20          R
021407         1974/12/02          22.10          MC
021407         1974/12/03          28.90          MC
021407         1974/12/04          27.90          MC
021407         1974/12/05          27.70          MC
021407         1974/12/06          25.30          MC
021407         1974/12/07          24.80          MC
021407         1974/12/08          23.80          MC
021407         1974/12/09          58.60          MC
021407         1974/12/10          54.90          MC
021407         1974/12/11          39.60          MC
021407         1974/12/12          29.20          MC
021407         1974/12/13          24.70          MC
021407         1974/12/14          20.20          MC
021407         1974/12/15          17.20          MC
021407         1974/12/16          13.60          MC
021407         1974/12/17          16.70          R
021407         1974/12/18          16.10          R
021407         1974/12/19          15.00          R
021407         1974/12/20          14.20          R
021407         1974/12/21          13.30          R
021407         1974/12/22          12.60          R
021407         1974/12/23          11.80          R
021407         1974/12/24          10.90          R
021407         1974/12/25          10.10          R
021407         1974/12/26          9.630          R
021407         1974/12/27          9.570          R
021407         1974/12/28          10.10          R
021407         1974/12/29          10.10          R
021407         1974/12/30          9.710          R
021407         1974/12/31          9.200          R
021407         1975/01/01          8.210          R
021407         1975/01/02          7.560          R
021407         1975/01/03          6.910          R
021407         1975/01/04          6.400          R
021407         1975/01/05          6.060          R
021407         1975/01/06          5.610          R
021407         1975/01/07          5.320          R
021407         1975/01/08          5.100          R
021407         1975/01/09          4.900          R
021407         1975/01/10          4.640          R
021407         1975/01/11          4.620          R
021407         1975/01/12          4.670          R
021407         1975/01/13          4.670          R
021407         1975/01/14          4.620          R
021407         1975/01/15          4.500          R
021407         1975/01/16          4.390          J
021407         1975/01/17          4.360          R
021407         1975/01/18          4.330          R
021407         1975/01/19          4.300          R
021407         1975/01/20          4.250          R
021407         1975/01/21          4.220          R
021407         1975/01/22          4.190          R
021407         1975/01/23          4.160          R
021407         1975/01/24          4.130          R
021407         1975/01/25          4.110          R
021407         1975/01/26          4.080          R
021407         1975/01/27          4.050          R
021407         1975/01/28          4.020          R
021407         1975/01/29          3.990          R
021407         1975/01/30          3.960          R
021407         1975/01/31          3.940          R
021407         1975/02/01          3.940          R
021407         1975/02/02          3.910          R
021407         1975/02/03          3.910          R
021407         1975/02/04          3.880          R
021407         1975/02/05          3.850          R
021407         1975/02/06          3.820          R
021407         1975/02/07          3.790          R
021407         1975/02/08          3.770          R
021407         1975/02/09          3.740          R
021407         1975/02/10          3.740          R
021407         1975/02/11          3.710          R
021407         1975/02/12          3.680          R
021407         1975/02/13          3.680          R
021407         1975/02/14          3.650          R
021407         1975/02/15          3.620          R
021407         1975/02/16          3.620          R
021407         1975/02/17          3.600          R
021407         1975/02/18          3.600          R
021407         1975/02/19          3.570          R
021407         1975/02/20          3.570          J
021407         1975/02/21          3.570          R
021407         1975/02/22          3.570          R
021407         1975/02/23          3.570          R
021407         1975/02/24          3.570          R
021407         1975/02/25          3.570          R
021407         1975/02/26          3.650          R
021407         1975/02/27          3.850          R
021407         1975/02/28          3.850          R
021407         1975/03/01          3.740          R
021407         1975/03/02          3.710          R
021407         1975/03/03          3.650          R
021407         1975/03/04          3.620          R
021407         1975/03/05          3.620          R
021407         1975/03/06          3.600          R
021407         1975/03/07          3.600          R
021407         1975/03/08          3.600          R
021407         1975/03/09          3.570          R
021407         1975/03/10          3.570          R
021407         1975/03/11          3.570          R
021407         1975/03/12          3.540          R
021407         1975/03/13          3.540          R
021407         1975/03/14          3.510          R
021407         1975/03/15          3.510          R
021407         1975/03/16          3.480          R
021407         1975/03/17          3.480          R
021407         1975/03/18          3.450          R
021407         1975/03/19          3.450          R
021407         1975/03/20          3.600          R
021407         1975/03/21          4.530          R
021407         1975/03/22          6.570          R
021407         1975/03/23          11.30          R
021407         1975/03/24          10.70          R
021407         1975/03/25          9.200          R
021407         1975/03/26          7.650          R
021407         1975/03/27          6.480          R
021407         1975/03/28          6.060          R
021407         1975/03/29          5.660          R
021407         1975/03/30          5.320          R
021407         1975/03/31          4.870          J
021407         1975/04/01          4.810          R
021407         1975/04/02          4.670          R
021407         1975/04/03          4.590          R
021407         1975/04/04          4.470          R
021407         1975/04/05          4.390          R
021407         1975/04/06          4.300          R
021407         1975/04/07          4.250          R
021407         1975/04/08          4.280          R
021407         1975/04/09          4.590          MC
021407         1975/04/10          4.500          MC
021407         1975/04/11          4.420          MC
021407         1975/04/12          4.330          MC
021407         1975/04/13          4.390          MC
021407         1975/04/14          4.450          MC
021407         1975/04/15          4.470          MC
021407         1975/04/16          4.760          MC
021407         1975/04/17          4.810          MC
021407         1975/04/18          5.800          MC
021407         1975/04/19          8.040          MC
021407         1975/04/20          19.30          MC
021407         1975/04/21          16.80          MC
021407         1975/04/22          12.10          MC
021407         1975/04/23          10.70          MC
021407         1975/04/24          10.70          MC
021407         1975/04/25          13.30          MC
021407         1975/04/26          15.90          MC
021407         1975/04/27          13.90          MC
021407         1975/04/28          12.40          MC
021407         1975/04/29          11.50          MC
021407         1975/04/30          12.90          MC
021407         1975/05/01          21.30          MC
021407         1975/05/02          30.60          MC
021407         1975/05/03          37.40          MC
021407         1975/05/04          37.90          MC
021407         1975/05/05          42.20          MC
021407         1975/05/06          51.00          MC
021407         1975/05/07          59.50          MC
021407         1975/05/08          59.70          MC
021407         1975/05/09          50.40          MC
021407         1975/05/10          49.60          MC
021407         1975/05/11          65.10          J
021407         1975/05/12          94.60          MC
021407         1975/05/13          96.80          MC
021407         1975/05/14          97.70          MC
021407         1975/05/15          99.10          MC
021407         1975/05/16          133.0          J
021407         1975/05/17          129.0          MC
021407         1975/05/18          90.60          MC
021407         1975/05/19          101.0          MC
021407         1975/05/20          117.0          MC
